unit_id,population_allocated,population_density_acs_label2023,gross_area_m2,supplied_acs_population,census_minus_supplied_acs,interpretation
CHI:01,55462.22153698101,11173.112209069526,4758656.228015077,53169.0,2293.2215369810074,different period and support; ACS provenance unresolved; not equality test
CHI:36,6796.677327622411,2785.099763411908,1570141.2414192385,4373.000000000001,2423.6773276224103,different period and support; ACS provenance unresolved; not equality test
CHI:37,2538.453208613054,1182.3159117972082,1848913.626373443,2186.0,352.4532086130539,different period and support; ACS provenance unresolved; not equality test
CHI:38,24590.143148544354,5510.879041629369,4501641.174230013,24808.0,-217.8568514556464,different period and support; ACS provenance unresolved; not equality test
CHI:39,19117.61966341555,5323.941301398344,2698752.519346188,14368.000000000002,4749.619663415548,different period and support; ACS provenance unresolved; not equality test
CHI:40,12709.007950724199,3142.636951108781,3933639.231104456,12361.999999999996,347.0079507242026,different period and support; ACS provenance unresolved; not equality test
CHI:41,29456.711227004733,5753.780229565489,4187160.273554516,24092.0,5364.711227004733,different period and support; ACS provenance unresolved; not equality test
CHI:42,24424.12977046742,4553.174185956166,5367025.069098742,24437.0,-12.870229532578378,different period and support; ACS provenance unresolved; not equality test
CHI:43,53730.69823315374,6093.230749445358,7594657.399805894,46276.0,7454.6982331537365,different period and support; ACS provenance unresolved; not equality test
CHI:44,31765.927122923207,4114.12764992426,7641960.258714579,31440.000000000004,325.92712292320357,different period and support; ACS provenance unresolved; not equality test
CHI:45,9407.324205063285,2933.801945143164,3235392.223975368,9492.000000000002,-84.67579493671656,different period and support; ACS provenance unresolved; not equality test
CHI:46,27299.43409662869,3357.682337227782,8658353.316413738,29072.0,-1772.565903371309,different period and support; ACS provenance unresolved; not equality test
CHI:47,2527.5781400178976,1412.7709128342888,1577750.490012708,2228.9999999999995,298.578140017898,different period and support; ACS provenance unresolved; not equality test
CHI:48,13086.262815046184,2664.7372032958933,4532529.506122129,12077.999999999998,1008.262815046186,different period and support; ACS provenance unresolved; not equality test
CHI:49,38824.46132996832,3020.3874329947766,12468599.090501225,37660.0,1164.4613299683188,different period and support; ACS provenance unresolved; not equality test
CHI:50,6820.789918776474,1250.829555898206,5477165.108303168,6851.000000000001,-30.210081223526686,different period and support; ACS provenance unresolved; not equality test
CHI:51,14108.127491839256,535.4347875192531,28201380.17173013,15100.0,-991.8725081607445,different period and support; ACS provenance unresolved; not equality test
CHI:52,21717.522627206235,3057.9077962343845,7727178.703392426,23629.0,-1911.4773727937645,different period and support; ACS provenance unresolved; not equality test
CHI:53,26092.44616527453,2727.4657779084355,9224313.72146977,25159.0,933.4461652745304,different period and support; ACS provenance unresolved; not equality test
CHI:54,7175.120183181246,847.4204888194018,9133600.2635281,7739.999999999999,-564.8798168187532,different period and support; ACS provenance unresolved; not equality test
CHI:55,10017.338298454764,656.4669684136192,13549805.897309886,8895.0,1122.3382984547643,different period and support; ACS provenance unresolved; not equality test
CHI:56,35474.40248642316,3313.467912183084,10944726.480271464,36265.0,-790.5975135768385,different period and support; ACS provenance unresolved; not equality test
CHI:57,14203.192754916241,2672.567935647192,5191636.034741252,13875.0,328.19275491624103,different period and support; ACS provenance unresolved; not equality test
CHI:58,45060.66500040796,6012.335769331228,7045514.692655271,42360.0,2700.6650004079565,different period and support; ACS provenance unresolved; not equality test
CHI:59,15945.307517501082,4206.94759965934,3660611.318583341,15399.999999999998,545.3075175010836,different period and support; ACS provenance unresolved; not equality test
CHI:60,33703.96134292813,6100.481355619333,5411376.26288976,33012.0,691.9613429281308,different period and support; ACS provenance unresolved; not equality test
CHI:61,43590.659534805,3267.750801584996,12498811.102789553,40843.000000000015,2747.6595348049887,different period and support; ACS provenance unresolved; not equality test
CHI:62,18276.396073484248,5993.5345936843405,3036772.327831264,18201.000000000004,75.39607348424397,different period and support; ACS provenance unresolved; not equality test
CHI:63,39636.01860808234,6090.291125878948,5689383.197588823,34650.0,4986.0186080823405,different period and support; ACS provenance unresolved; not equality test
CHI:64,24483.090222380437,3741.116755430659,6604979.639871065,24710.0,-226.9097776195631,different period and support; ACS provenance unresolved; not equality test
CHI:65,33632.122140642336,4246.486693103344,7641846.6241053315,32451.0,1181.1221406423356,different period and support; ACS provenance unresolved; not equality test
CHI:66,55927.27893637804,5726.250786367769,9123770.849222558,52245.0,3682.2789363780394,different period and support; ACS provenance unresolved; not equality test
CHI:67,29642.709551105803,3180.9611771598143,8164513.351020754,25971.0,3671.7095511058033,different period and support; ACS provenance unresolved; not equality test
CHI:68,24352.266822191534,2683.4474653508096,7951338.819003335,21337.0,3015.2668221915337,different period and support; ACS provenance unresolved; not equality test
CHI:69,31471.67674225001,3165.8441244818223,9176699.438654505,29052.0,2419.676742250009,different period and support; ACS provenance unresolved; not equality test
CHI:70,41145.42167401799,3406.7753209117345,12575528.458546674,42841.99999999999,-1696.5783259820018,different period and support; ACS provenance unresolved; not equality test
CHI:71,44867.72437074917,4765.744925559216,9753564.39047053,46483.00000000001,-1615.2756292508348,different period and support; ACS provenance unresolved; not equality test
CHI:72,19908.10132156496,2403.7363648356545,8241752.41919864,19811.0,97.1013215649582,different period and support; ACS provenance unresolved; not equality test
CHI:73,25183.52193154017,3558.8558294731038,7392825.464327746,26310.000000000004,-1126.4780684598336,different period and support; ACS provenance unresolved; not equality test
CHI:74,18627.789517965593,2722.98913243189,7016921.1373001775,19107.0,-479.2104820344066,different period and support; ACS provenance unresolved; not equality test
CHI:75,21176.320594268043,2495.85934423788,8529326.80246866,21288.000000000004,-111.67940573196029,different period and support; ACS provenance unresolved; not equality test
CHI:76,13425.671333539074,471.6065186002697,34522423.5838005,16281.0,-2855.328666460926,different period and support; ACS provenance unresolved; not equality test
CHI:77,56066.0777402666,10557.190555928975,4497787.52675187,47483.999999999985,8582.077740266614,different period and support; ACS provenance unresolved; not equality test
