family_id,feature_name,unit,primary_feature,method,observation_period,coverage_definition
U2,formal_job_density_address_first_located_jobs_prior_km2,job links/km²,False,2022 RAIS CEP allocation address_first_located_jobs_prior,RAIS 2022; tax/address supports mixed vintage,citywide allocated fraction; district missing mass unknown
U2,formal_job_density_area_first_business_prior_km2,job links/km²,False,2022 RAIS CEP allocation area_first_business_prior,RAIS 2022; tax/address supports mixed vintage,citywide allocated fraction; district missing mass unknown
U2,formal_job_density_area_first_km2,job links/km²,True,2022 RAIS CEP allocation area_first,RAIS 2022; tax/address supports mixed vintage,citywide allocated fraction; district missing mass unknown
U2,formal_job_density_area_first_located_jobs_prior_km2,job links/km²,False,2022 RAIS CEP allocation area_first_located_jobs_prior,RAIS 2022; tax/address supports mixed vintage,citywide allocated fraction; district missing mass unknown
U2,formal_job_density_area_mixed_km2,job links/km²,False,2022 RAIS CEP allocation area_mixed,RAIS 2022; tax/address supports mixed vintage,citywide allocated fraction; district missing mass unknown
U2,formal_job_density_equal_workplace_km2,job links/km²,False,2022 RAIS CEP allocation equal_workplace,RAIS 2022; tax/address supports mixed vintage,citywide allocated fraction; district missing mass unknown
U2,formal_job_density_hybrid_km2,job links/km²,False,2022 RAIS CEP allocation hybrid,RAIS 2022; tax/address supports mixed vintage,citywide allocated fraction; district missing mass unknown
U2,formal_job_density_residential_first_km2,job links/km²,False,2022 RAIS CEP allocation residential_first,RAIS 2022; tax/address supports mixed vintage,citywide allocated fraction; district missing mass unknown
U3,population_density_km2,people/km²,True,2022 sector area allocation; outside residual retained,census 2022,citywide source population within district union
B1,building_coverage_land,fraction,True,exact footprint union in disjoint 2km tiles; intersect district land,Overture 2026-08-19.0,all intersecting records in provided release; real building completeness unknown
B1,building_coverage_gross,fraction,False,same tile union on gross district area,Overture 2026-08-19.0,eligible source records
B1,footprint_overlap_excess_fraction,fraction,False,,Overture 2026-08-19.0,eligible source records
U4,bus_service_access_saturday_am_400m,expected departures per 2h per resident,False,"250m EPSG:31983 origin-zero grid intersected with each census sector and district; representative point per nonempty intersection, population uniform within source sector; maximum reachable stop supply per route/direction, then sum; all source stops including outside district",2022 population; September 2026 GTFS scenarios,eligible source records
U4,population_bus_service_reach_saturday_am_400m,fraction,False,population at support points with positive reachable service,2022 population; September 2026 GTFS scenarios,eligible source records
U4,bus_service_access_saturday_am_800m,expected departures per 2h per resident,False,"250m EPSG:31983 origin-zero grid intersected with each census sector and district; representative point per nonempty intersection, population uniform within source sector; maximum reachable stop supply per route/direction, then sum; all source stops including outside district",2022 population; September 2026 GTFS scenarios,eligible source records
U4,population_bus_service_reach_saturday_am_800m,fraction,False,population at support points with positive reachable service,2022 population; September 2026 GTFS scenarios,eligible source records
U4,bus_service_access_sunday_am_400m,expected departures per 2h per resident,False,"250m EPSG:31983 origin-zero grid intersected with each census sector and district; representative point per nonempty intersection, population uniform within source sector; maximum reachable stop supply per route/direction, then sum; all source stops including outside district",2022 population; September 2026 GTFS scenarios,eligible source records
U4,population_bus_service_reach_sunday_am_400m,fraction,False,population at support points with positive reachable service,2022 population; September 2026 GTFS scenarios,eligible source records
U4,bus_service_access_sunday_am_800m,expected departures per 2h per resident,False,"250m EPSG:31983 origin-zero grid intersected with each census sector and district; representative point per nonempty intersection, population uniform within source sector; maximum reachable stop supply per route/direction, then sum; all source stops including outside district",2022 population; September 2026 GTFS scenarios,eligible source records
U4,population_bus_service_reach_sunday_am_800m,fraction,False,population at support points with positive reachable service,2022 population; September 2026 GTFS scenarios,eligible source records
U4,bus_service_access_weekday_am_400m,expected departures per 2h per resident,True,"250m EPSG:31983 origin-zero grid intersected with each census sector and district; representative point per nonempty intersection, population uniform within source sector; maximum reachable stop supply per route/direction, then sum; all source stops including outside district",2022 population; September 2026 GTFS scenarios,eligible source records
U4,population_bus_service_reach_weekday_am_400m,fraction,False,population at support points with positive reachable service,2022 population; September 2026 GTFS scenarios,eligible source records
U4,bus_service_access_weekday_am_800m,expected departures per 2h per resident,False,"250m EPSG:31983 origin-zero grid intersected with each census sector and district; representative point per nonempty intersection, population uniform within source sector; maximum reachable stop supply per route/direction, then sum; all source stops including outside district",2022 population; September 2026 GTFS scenarios,eligible source records
U4,population_bus_service_reach_weekday_am_800m,fraction,False,population at support points with positive reachable service,2022 population; September 2026 GTFS scenarios,eligible source records
